Source,Target,Type,Id,Label,timeset,Weight
1417699,4197617,Undirected,693,,,2
1417699,4476572,Undirected,694,,,2
1417699,4789687,Undirected,695,,,2
1417699,5477798,Undirected,696,,,2
1417699,5881506,Undirected,697,,,2
1417699,6027233,Undirected,698,,,2
1417699,6048636,Undirected,699,,,2
1417699,7109789,Undirected,700,,,2
1417699,7970920,Undirected,701,,,2
1417699,8444486,Undirected,702,,,2
1417699,8558807,Undirected,703,,,2
1417699,9429899,Undirected,704,,,1
1417699,9472148,Undirected,705,,,2
1417699,11027885,Undirected,706,,,2
1417699,11337133,Undirected,707,,,2
1417699,11338980,Undirected,708,,,2
1417699,12018504,Undirected,709,,,2
1417699,12245321,Undirected,710,,,2
1417699,12374632,Undirected,711,,,2
1417699,13163358,Undirected,712,,,2
1417699,13329095,Undirected,713,,,2
1417699,14532617,Undirected,714,,,2
1417699,16644079,Undirected,715,,,2
1417699,16787233,Undirected,716,,,2
1417699,17890829,Undirected,717,,,2
1417699,19317051,Undirected,718,,,2
1417699,20811923,Undirected,719,,,2
1417699,20880909,Undirected,720,,,2
1417699,24027100,Undirected,721,,,2
1417699,25124104,Undirected,722,,,2
1417699,36308001,Undirected,723,,,2
1417699,55893666,Undirected,724,,,2
1417699,146939479,Undirected,725,,,2
1417699,154794974,Undirected,726,,,2
1417699,206024122,Undirected,727,,,2
1417699,294045480,Undirected,728,,,2
1420000,1895348,Undirected,730,,,2
1420000,3116923,Undirected,731,,,2
1420000,4163556,Undirected,732,,,2
1420000,5206504,Undirected,733,,,2
1420000,8091161,Undirected,734,,,2
1420000,8471820,Undirected,735,,,2
1420000,11032809,Undirected,736,,,2
1420000,11868865,Undirected,737,,,2
1420000,11995332,Undirected,738,,,2
1420000,12427925,Undirected,739,,,2
1420000,13678754,Undirected,740,,,2
1420000,14785048,Undirected,741,,,2
1420000,17695649,Undirected,742,,,2
1420000,18067224,Undirected,743,,,2
1420000,20113344,Undirected,744,,,2
1420000,20379826,Undirected,745,,,2
1420000,20811923,Undirected,746,,,2
1420000,21404950,Undirected,747,,,2
1420000,21659382,Undirected,748,,,2
1420000,21718456,Undirected,749,,,2
1420000,23703183,Undirected,750,,,2
1420000,27342802,Undirected,751,,,2
1420000,29037626,Undirected,752,,,2
1420000,30554816,Undirected,753,,,2
1420000,31111304,Undirected,754,,,2
1420000,31918619,Undirected,755,,,2
1420000,33604045,Undirected,756,,,2
1420000,41848358,Undirected,757,,,2
1420000,42647958,Undirected,758,,,2
1420000,43835448,Undirected,759,,,2
1420000,46861516,Undirected,760,,,2
1420000,48038134,Undirected,761,,,2
1420000,48920357,Undirected,762,,,2
1420000,51109331,Undirected,763,,,2
1420000,51415668,Undirected,764,,,2
1420000,52655756,Undirected,765,,,2
1420000,57578133,Undirected,766,,,2
1420000,58143146,Undirected,767,,,2
1420000,58591324,Undirected,768,,,2
1420000,65049309,Undirected,769,,,2
1420000,68798579,Undirected,770,,,2
1420000,75730636,Undirected,771,,,2
1420000,79471950,Undirected,772,,,2
1420000,85595794,Undirected,773,,,2
1420000,87659298,Undirected,774,,,2
1420000,89844420,Undirected,775,,,2
1420000,92102535,Undirected,776,,,2
1420000,112989594,Undirected,777,,,2
1420000,113372378,Undirected,778,,,2
1420000,117257470,Undirected,779,,,2
1420000,118572183,Undirected,780,,,2
1420000,134909209,Undirected,781,,,2
1420000,151866443,Undirected,782,,,2
1420000,154318196,Undirected,783,,,2
1420000,163741144,Undirected,784,,,2
1420000,169281899,Undirected,785,,,2
1420000,181655040,Undirected,786,,,2
1420000,225287220,Undirected,787,,,2
